Scrip,Open,High,Low,Close,Volume,Date
LINDEBD,1397.7,1397.7,1397.7,1397.7,47,2023-01-31
LINDEBD,1397.7,1397.7,1397.7,1397.7,34,2023-01-01
LOVELLO,37.9,37.9,37.9,37.9,7665,2023-01-31
LOVELLO,37.9,37.9,37.9,37.9,13260,2023-01-01
LRBDL,35.4,36.7,35.4,36.3,935975,2023-01-31
LRBDL,36.1,36.5,35.5,35.6,402763,2023-01-01
LRGLOBMF1,6.4,6.4,6.4,6.4,13,2023-01-31
LRGLOBMF1,6.4,6.4,6.4,6.4,10,2023-01-01
MAKSONSPIN,22.3,22.3,22.3,22.3,21026,2023-01-31
MAKSONSPIN,22.3,22.3,22.3,22.3,125,2023-01-01
MARICO,2421.5,2421.5,2421.5,2421.5,239,2023-01-31
MARICO,2421.5,2421.5,2421.5,2421.5,632,2023-01-01
MATINSPINN,77.6,77.6,77.6,77.6,200,2023-01-31
MATINSPINN,77.6,77.6,77.6,77.6,9,2023-01-01
MBL1STMF,6.6,6.6,6.6,6.6,25815,2023-01-31
MBL1STMF,6.6,6.6,6.6,6.6,18506,2023-01-01
MEGCONMILK,33.6,33.6,33.6,33.6,501,2023-01-31
MEGCONMILK,40.4,40.4,40.4,40.4,5,2023-01-01
MEGHNACEM,63.0,63.0,63.0,63.0,1159,2023-01-31
MEGHNACEM,68.5,68.5,65.0,65.7,29,2023-01-01
MEGHNAINS,35.5,35.5,35.5,35.5,4285,2023-01-31
MEGHNAINS,42.4,42.4,42.4,42.4,81,2023-01-01
MEGHNALIFE,92.0,94.7,91.1,91.8,1400599,2023-01-31
MEGHNALIFE,64.4,66.0,64.4,65.2,152803,2023-01-01
MEGHNAPET,32.4,32.4,32.4,32.4,2,2023-01-31
MEGHNAPET,39.0,39.0,39.0,39.0,1,2023-01-01
MERCANBANK,13.6,13.7,13.6,13.7,940037,2023-01-31
MERCANBANK,13.6,13.6,13.6,13.6,82518,2023-01-01
MERCINS,33.2,33.2,33.0,33.1,850,2023-01-31
MERCINS,31.9,31.9,31.0,31.8,2513,2023-01-01
METROSPIN,46.9,46.9,42.1,42.6,1070082,2023-01-31
METROSPIN,42.5,44.1,42.5,43.3,11148,2023-01-01
MIDASFIN,11.1,11.1,11.1,11.1,23952,2023-01-31
MIDASFIN,12.8,12.8,12.8,12.8,1,2023-01-01
MIRACLEIND,28.1,28.1,28.1,28.1,7952,2023-01-31
MIRACLEIND,32.5,32.5,32.5,32.5,40,2023-01-01
MIRAKHTER,50.8,50.8,50.8,50.8,15520,2023-01-31
MIRAKHTER,50.8,50.8,50.8,50.8,494,2023-01-01
MITHUNKNIT,16.5,16.5,16.5,16.5,1,2023-01-31
MITHUNKNIT,18.3,18.3,18.3,18.3,1,2023-01-01
MJLBD,86.7,86.7,86.7,86.7,6414,2023-01-31
MJLBD,86.7,86.7,86.7,86.7,483,2023-01-01
MONNOAGML,815.0,815.0,794.7,794.8,14798,2023-01-31
MONNOAGML,820.5,828.7,812.3,812.3,35107,2023-01-01
MONNOCERA,100.8,104.1,99.2,103.7,288163,2023-01-31
MONNOCERA,122.7,126.8,122.7,124.2,702056,2023-01-01
MONOSPOOL,262.0,264.5,255.1,259.4,76309,2023-01-31
MONOSPOOL,295.0,295.0,276.4,277.6,64423,2023-01-01
MPETROLEUM,198.6,198.6,198.6,198.6,16185,2023-01-31
MPETROLEUM,198.6,198.6,198.6,198.6,191,2023-01-01
MTB,16.7,16.7,16.6,16.6,2426,2023-01-31
MTB,16.7,16.9,16.7,16.8,2749,2023-01-01
NAVANACNG,22.4,23.0,22.4,22.4,261246,2023-01-31
NAVANACNG,24.0,24.0,24.0,24.0,12833,2023-01-01
NAVANAPHAR,77.6,79.3,77.1,77.6,413415,2023-01-31
NAVANAPHAR,78.5,79.6,75.0,75.6,395022,2023-01-01
NBL,8.3,8.3,8.3,8.3,1,2023-01-31
NBL,8.3,8.3,8.3,8.3,582,2023-01-01
NCCBANK,13.8,13.8,13.8,13.8,103845,2023-01-31
NCCBANK,13.8,13.8,13.8,13.8,838,2023-01-01
NCCBLMF1,7.2,7.2,7.2,7.2,2004,2023-01-31
NCCBLMF1,7.1,7.1,7.1,7.1,2076,2023-01-01
NEWLINE,45.1,45.1,45.1,45.1,37,2023-01-31
NEWLINE,45.1,45.1,45.1,45.1,47,2023-01-01
NFML,14.4,14.4,14.4,14.4,4301,2023-01-31
NFML,16.1,16.1,16.1,16.1,1,2023-01-01
NHFIL,47.4,48.2,47.1,47.3,678665,2023-01-31
NHFIL,42.3,42.3,41.8,41.8,59512,2023-01-01
NITOLINS,40.0,40.2,40.0,40.0,35844,2023-01-31
NITOLINS,41.3,41.3,41.3,41.3,1,2023-01-01
NORTHERN,202.5,202.5,202.5,202.5,202,2023-01-31
NORTHERN,248.0,249.0,239.5,239.5,7097,2023-01-01
NORTHRNINS,41.3,41.3,41.3,41.3,1970,2023-01-31
NORTHRNINS,39.3,39.3,39.3,39.3,10,2023-01-01
NPOLYMER,51.0,51.0,51.0,51.0,503,2023-01-31
NPOLYMER,51.0,51.0,51.0,51.0,1169,2023-01-01
NTC,598.2,604.0,598.2,600.3,2034,2023-01-31
NTC,605.1,611.0,605.1,610.0,5187,2023-01-01
NTLTUBES,79.5,79.5,79.5,79.5,706,2023-01-31
NTLTUBES,79.5,79.5,79.5,79.5,11,2023-01-01
OAL,9.9,9.9,9.9,9.9,172,2023-01-31
OAL,10.4,10.4,10.4,10.4,2421,2023-01-01
OLYMPIC,136.0,141.0,136.0,138.0,1869031,2023-01-31
OLYMPIC,124.7,124.7,121.0,121.2,61320,2023-01-01
ONEBANKLTD,11.7,11.7,11.6,11.6,582452,2023-01-31
ONEBANKLTD,10.2,10.3,10.1,10.2,180276,2023-01-01
ORIONINFU,350.0,359.8,336.0,337.9,163684,2023-01-31
ORIONINFU,566.0,566.0,495.0,530.8,338529,2023-01-01
ORIONPHARM,82.2,86.4,82.2,85.1,2226761,2023-01-31
ORIONPHARM,82.8,83.5,80.6,80.9,1087995,2023-01-01
PADMALIFE,48.2,48.8,48.2,48.2,260171,2023-01-31
PADMALIFE,45.5,45.5,44.8,44.8,111943,2023-01-01
PADMAOIL,209.2,209.2,209.2,209.2,2042,2023-01-31
PADMAOIL,209.2,209.2,209.2,209.2,425,2023-01-01
PAPERPROC,180.9,180.9,180.9,180.9,4364,2023-01-31
PAPERPROC,208.0,209.9,205.0,205.0,79758,2023-01-01
PARAMOUNT,43.5,43.5,43.5,43.5,17160,2023-01-31
PARAMOUNT,44.1,44.1,44.1,44.1,1975,2023-01-01
PDL,9.9,9.9,9.9,9.9,4385,2023-01-31
PDL,10.9,10.9,10.9,10.9,1712,2023-01-01
PENINSULA,27.4,27.4,27.4,27.4,1745,2023-01-31
PENINSULA,27.4,27.4,27.4,27.4,1253,2023-01-01
PEOPLESINS,37.0,37.0,37.0,37.0,7930,2023-01-31
PEOPLESINS,36.1,36.1,36.1,36.1,1970,2023-01-01
PHARMAID,790.7,790.7,790.7,790.7,22,2023-01-31
PHARMAID,790.7,790.7,790.7,790.7,76,2023-01-01
PHENIXINS,37.6,37.6,37.6,37.6,8264,2023-01-31
PHENIXINS,37.6,37.6,37.6,37.6,2561,2023-01-01
PHOENIXFIN,16.3,16.3,16.3,16.3,500,2023-01-31
PHOENIXFIN,16.3,16.3,16.3,16.3,5,2023-01-01
PHPMF1,5.2,5.2,5.2,5.2,120,2023-01-31
PHPMF1,5.2,5.2,5.2,5.2,1551,2023-01-01
PIONEERINS,78.9,80.9,77.6,78.1,511481,2023-01-31
PIONEERINS,71.5,71.5,71.5,71.5,10,2023-01-01
POPULARLIF,79.4,84.5,79.4,81.5,928236,2023-01-31
POPULARLIF,65.0,66.3,64.3,64.5,150142,2023-01-01
POWERGRID,52.4,52.4,52.4,52.4,65,2023-01-31
POWERGRID,52.4,52.4,52.4,52.4,351,2023-01-01
PRAGATIINS,70.4,72.5,70.0,71.9,138459,2023-01-31
PRAGATIINS,58.6,59.6,58.5,58.6,15225,2023-01-01
PRAGATILIF,163.3,166.8,161.8,162.4,192035,2023-01-31
PRAGATILIF,118.0,122.5,114.3,121.4,212902,2023-01-01
PREMIERBAN,13.4,13.4,13.3,13.3,252205,2023-01-31
PREMIERBAN,13.3,13.4,13.2,13.3,627211,2023-01-01
PREMIERCEM,44.5,44.5,44.5,44.5,100,2023-01-31
PREMIERCEM,44.5,44.5,44.5,44.5,61,2023-01-01
PREMIERLEA,7.4,7.4,7.4,7.4,5,2023-01-31
PREMIERLEA,6.9,6.9,6.9,6.9,244,2023-01-01
PRIMEBANK,19.5,19.6,19.4,19.6,137394,2023-01-31
PRIMEBANK,19.2,19.4,19.1,19.3,2615,2023-01-01
PRIMELIFE,60.5,61.5,60.5,60.5,106160,2023-01-31
PRIMELIFE,53.0,53.8,52.9,52.9,12515,2023-01-01
PRIMETEX,33.3,33.3,33.3,33.3,1,2023-01-31
PRIMETEX,39.6,39.6,39.6,39.6,11,2023-01-01
PROGRESLIF,85.5,87.4,85.3,85.3,113157,2023-01-31
PROGRESLIF,76.7,76.7,73.3,73.3,28135,2023-01-01
PROVATIINS,58.9,58.9,58.9,58.9,262,2023-01-31
PROVATIINS,58.9,58.9,58.9,58.9,11,2023-01-01
PTL,77.0,77.0,77.0,77.0,69,2023-01-31
PTL,77.0,77.0,77.0,77.0,40,2023-01-01
PUBALIBANK,26.3,26.4,26.3,26.3,15261,2023-01-31
PUBALIBANK,26.1,26.5,26.1,26.5,34108,2023-01-01
PURABIGEN,28.5,28.5,28.5,28.5,25666,2023-01-31
PURABIGEN,28.0,28.2,27.9,27.9,109596,2023-01-01
QUEENSOUTH,23.3,23.3,23.3,23.3,65,2023-01-31
QUEENSOUTH,24.7,24.7,24.7,24.7,1840,2023-01-01
RAHIMAFOOD,237.7,237.7,237.7,237.7,81,2023-01-31
RAHIMAFOOD,237.7,237.7,237.7,237.7,502,2023-01-01
RAHIMTEXT,166.9,166.9,166.9,166.9,51,2023-01-31
RAHIMTEXT,207.0,207.0,207.0,207.0,10,2023-01-01
RAKCERAMIC,42.9,42.9,42.9,42.9,1100,2023-01-31
RAKCERAMIC,42.9,42.9,42.9,42.9,390,2023-01-01
RANFOUNDRY,151.0,151.1,151.0,151.0,8514,2023-01-31
RANFOUNDRY,164.8,166.7,163.0,163.2,9369,2023-01-01
RECKITTBEN,4760.7,4760.7,4760.7,4760.7,67,2023-01-31
RECKITTBEN,4760.7,4760.7,4760.7,4760.7,26,2023-01-01
RELIANCE1,9.9,9.9,9.9,9.9,1200,2023-01-31
RELIANCE1,10.2,10.2,10.2,10.2,516,2023-01-01
RELIANCINS,63.8,65.2,63.6,64.1,28860,2023-01-31
RELIANCINS,59.8,59.8,57.5,58.1,13242,2023-01-01
RENATA,1217.9,1217.9,1217.9,1217.9,113,2023-01-31
RENATA,1217.9,1217.9,1217.9,1217.9,250,2023-01-01
RENWICKJA,776.8,776.8,774.2,775.0,138,2023-01-31
RENWICKJA,954.7,954.7,945.3,948.0,7,2023-01-01
REPUBLIC,35.2,35.3,35.1,35.1,9025,2023-01-31
REPUBLIC,33.1,33.1,33.1,33.1,530,2023-01-01
RINGSHINE,9.8,9.8,9.8,9.8,3,2023-01-31
RINGSHINE,9.8,9.8,9.8,9.8,249310,2023-01-01
RNSPIN,6.2,6.2,6.2,6.2,160,2023-01-31
RNSPIN,6.2,6.2,6.2,6.2,100,2023-01-01
ROBI,30.0,30.0,30.0,30.0,581,2023-01-31
ROBI,30.0,30.0,30.0,30.0,822,2023-01-01
RSRMSTEEL,18.1,18.1,18.1,18.1,227,2023-01-31
RSRMSTEEL,17.0,17.0,16.5,16.5,41252,2023-01-01
RUNNERAUTO,48.4,48.4,48.4,48.4,27003,2023-01-31
RUNNERAUTO,48.4,48.4,48.4,48.4,3,2023-01-01
RUPALIINS,29.1,29.1,29.1,29.1,26660,2023-01-31
RUPALIINS,26.3,26.3,26.3,26.3,2991,2023-01-01
RUPALILIFE,93.7,96.5,93.5,94.1,673064,2023-01-31
RUPALILIFE,79.5,80.0,78.8,79.0,59335,2023-01-01
SAFKOSPINN,22.8,22.8,22.8,22.8,116,2023-01-31
SAFKOSPINN,27.0,27.0,27.0,27.0,1,2023-01-01
SAIFPOWER,29.7,29.7,29.7,29.7,289,2023-01-31
SAIFPOWER,29.7,29.7,29.7,29.7,2066,2023-01-01
SAIHAMTEX,19.5,19.5,19.5,19.5,50762,2023-01-31
SAIHAMTEX,23.4,23.4,23.4,23.4,188,2023-01-01
SALVOCHEM,61.8,61.8,61.8,61.8,6,2023-01-31
SALVOCHEM,61.8,61.8,61.8,61.8,150,2023-01-01
SAMATALETH,57.5,58.0,57.5,57.5,3675,2023-01-31
SAMATALETH,66.8,66.8,66.8,66.8,11,2023-01-01
SAMORITA,68.7,68.7,67.8,67.8,41765,2023-01-31
SAMORITA,69.3,70.7,69.3,69.4,46105,2023-01-01
SANDHANINS,30.0,30.8,29.7,29.8,775592,2023-01-31
SANDHANINS,26.9,26.9,26.9,26.9,26762,2023-01-01
SAPORTL,32.9,32.9,31.6,31.8,2166118,2023-01-31
SAPORTL,30.2,30.3,29.0,29.1,1165204,2023-01-01
SBACBANK,10.6,10.6,10.6,10.6,3229,2023-01-31
SBACBANK,10.6,10.6,10.6,10.6,19,2023-01-01
SEAPEARL,280.1,285.0,257.0,263.5,1276673,2023-01-31
SEAPEARL,191.0,195.0,183.4,184.0,209286,2023-01-01
SEMLFBSLGF,8.4,8.4,8.4,8.4,100,2023-01-31
SEMLFBSLGF,8.4,8.4,8.4,8.4,1,2023-01-01
SEMLIBBLSF,8.5,8.5,8.5,8.5,3200,2023-01-31
SEMLIBBLSF,8.5,8.5,8.5,8.5,118,2023-01-01
SHAHJABANK,18.8,19.0,18.8,18.9,32434,2023-01-31
SHAHJABANK,19.1,19.1,18.8,18.8,80393,2023-01-01
SHURWID,15.8,15.8,15.8,15.8,10744,2023-01-31
SHURWID,18.0,18.0,18.0,18.0,21,2023-01-01
SHYAMPSUG,75.4,75.4,75.4,75.4,12,2023-01-31
SHYAMPSUG,92.8,92.8,92.8,92.8,1,2023-01-01
SIBL,12.3,12.3,12.3,12.3,1752,2023-01-31
SIBL,12.3,12.3,12.3,12.3,740,2023-01-01
SILCOPHL,23.4,23.4,23.4,23.4,15861,2023-01-31
SILCOPHL,23.4,23.4,23.4,23.4,19541,2023-01-01
SILVAPHL,21.6,21.6,21.6,21.6,1,2023-01-31
SILVAPHL,21.6,21.6,21.6,21.6,150,2023-01-01
SIMTEX,15.3,15.3,15.3,15.3,42325,2023-01-31
SIMTEX,16.7,16.7,16.7,16.7,42038,2023-01-01
SINGERBD,151.9,151.9,151.9,151.9,129,2023-01-31
SINGERBD,151.9,151.9,151.9,151.9,44,2023-01-01
SINOBANGLA,59.5,59.5,59.5,59.5,12943,2023-01-31
SINOBANGLA,59.9,59.9,58.3,58.3,94326,2023-01-01
SKICL,59.4,59.4,59.4,59.4,65028,2023-01-31
SKICL,57.2,57.6,57.1,57.1,176690,2023-01-01
SKTRIMS,25.3,25.3,24.7,24.7,145994,2023-01-31
SKTRIMS,23.6,23.6,23.6,23.6,4531,2023-01-01
SONALIANSH,380.8,418.2,380.8,410.1,140533,2023-01-31
SONALIANSH,469.9,474.0,465.2,465.2,20097,2023-01-01
SONALILIFE,69.5,72.0,69.5,70.0,792559,2023-01-31
SONALILIFE,60.2,60.2,58.6,59.8,126187,2023-01-01
SONALIPAPR,615.1,615.1,615.1,615.1,82,2023-01-31
SONALIPAPR,615.1,615.1,615.1,615.1,387,2023-01-01
SONARBAINS,51.6,51.6,51.6,51.6,42255,2023-01-31
SONARBAINS,47.2,47.2,47.2,47.2,6989,2023-01-01
SONARGAON,38.7,38.7,38.7,38.7,25,2023-01-31
SONARGAON,47.2,47.2,47.2,47.2,111,2023-01-01
SOUTHEASTB,13.8,13.8,13.8,13.8,117518,2023-01-31
SOUTHEASTB,13.8,13.8,13.8,13.8,3592,2023-01-01
SPCERAMICS,46.4,46.7,43.8,46.0,2360268,2023-01-31
SPCERAMICS,43.0,43.0,43.0,43.0,371,2023-01-01
SPCL,65.5,65.5,65.5,65.5,404,2023-01-31
SPCL,65.5,65.5,65.5,65.5,160,2023-01-01
SQUARETEXT,67.5,67.5,67.5,67.5,150,2023-01-31
SQUARETEXT,67.5,67.5,67.5,67.5,300,2023-01-01
SQURPHARMA,209.8,209.8,209.8,209.8,9964,2023-01-31
SQURPHARMA,209.8,209.8,209.8,209.8,6372,2023-01-01
SSSTEEL,16.6,16.6,16.6,16.6,7417,2023-01-31
SSSTEEL,16.6,16.6,16.6,16.6,1911,2023-01-01
STANCERAM,123.6,123.6,123.6,123.6,227,2023-01-31
STANCERAM,140.3,147.3,140.3,141.5,18598,2023-01-01
STANDARINS,45.4,45.8,45.4,45.4,29256,2023-01-31
STANDARINS,47.6,47.6,47.6,47.6,101,2023-01-01
STYLECRAFT,91.6,91.6,87.6,87.6,20486,2023-01-31
STYLECRAFT,99.8,99.8,99.8,99.8,13786,2023-01-01
SUMITPOWER,34.0,34.0,34.0,34.0,9,2023-01-31
SUMITPOWER,34.0,34.0,34.0,34.0,5000,2023-01-01
SUNLIFEINS,57.8,60.0,57.4,58.7,242759,2023-01-31
SUNLIFEINS,56.4,56.4,56.4,56.4,93120,2023-01-01
TAKAFULINS,48.7,49.0,48.7,48.8,177995,2023-01-31
TAKAFULINS,45.0,45.0,45.0,45.0,153,2023-01-01
TAMIJTEX,178.3,178.3,178.3,178.3,300,2023-01-31
TAMIJTEX,178.3,181.0,178.3,178.3,13850,2023-01-01
TOSRIFA,19.6,21.0,19.6,19.6,357973,2023-01-31
TOSRIFA,23.2,23.2,23.2,23.2,2,2023-01-01
TRUSTB1MF,5.6,5.6,5.6,5.6,5017,2023-01-31
TRUSTB1MF,5.6,5.6,5.6,5.6,29976,2023-01-01
TRUSTBANK,34.9,34.9,34.9,34.9,11487,2023-01-31
TRUSTBANK,34.9,34.9,34.9,34.9,156,2023-01-01
UCB,13.0,13.0,13.0,13.0,538,2023-01-31
UCB,13.0,13.0,13.0,13.0,1728,2023-01-01
UNILEVERCL,2849.0,2849.0,2849.0,2849.0,11,2023-01-31
UNILEVERCL,2849.0,2849.0,2849.0,2849.0,70,2023-01-01
UNIONBANK,9.3,9.3,9.3,9.3,3269,2023-01-31
UNIONBANK,9.3,9.3,9.3,9.3,287,2023-01-01
UNIONCAP,9.9,9.9,9.9,9.9,1700,2023-01-31
UNIONCAP,9.9,9.9,9.9,9.9,621,2023-01-01
UNIONINS,43.5,43.5,43.5,43.5,1124,2023-01-31
UNIONINS,37.0,37.1,37.0,37.0,38984,2023-01-01
UNIQUEHRL,67.9,69.7,67.9,68.5,1092047,2023-01-31
UNIQUEHRL,56.0,57.8,56.0,56.6,133026,2023-01-01
UNITEDFIN,15.8,15.8,15.8,15.8,5,2023-01-31
UNITEDFIN,15.8,15.8,15.8,15.8,1266,2023-01-01
UNITEDINS,42.7,42.7,42.7,42.7,3740,2023-01-31
UNITEDINS,45.3,45.3,45.3,45.3,201,2023-01-01
UPGDCL,233.7,233.7,233.7,233.7,95,2023-01-31
UPGDCL,233.7,233.7,233.7,233.7,76,2023-01-01
USMANIAGL,57.8,57.8,57.8,57.8,61,2023-01-31
USMANIAGL,70.4,70.4,70.4,70.4,1,2023-01-01
UTTARABANK,23.4,23.5,23.3,23.4,99550,2023-01-31
UTTARABANK,23.3,23.3,23.3,23.3,38331,2023-01-01
UTTARAFIN,33.8,33.8,33.8,33.8,1162,2023-01-31
UTTARAFIN,33.8,33.8,33.8,33.8,242,2023-01-01
WATACHEM,200.2,200.2,200.2,200.2,40,2023-01-31
WATACHEM,200.2,200.2,200.2,200.2,130,2023-01-01
WMSHIPYARD,11.0,11.0,11.0,11.0,504,2023-01-31
WMSHIPYARD,11.0,11.0,11.0,11.0,7,2023-01-01
YPL,18.1,18.1,18.1,18.1,21701,2023-01-31
YPL,18.7,18.7,18.7,18.7,14,2023-01-01
ZAHEENSPIN,10.1,10.1,10.1,10.1,1,2023-01-31
ZAHEENSPIN,12.3,12.3,12.3,12.3,100,2023-01-01
ZEALBANGLA,142.0,142.0,142.0,142.0,58,2023-01-31
ZEALBANGLA,170.8,170.8,170.8,170.8,1,2023-01-01
